#    L    TT             EE             BB             TE          
     2   0.104958E+04   0.329614E-01   0.189391E-05   0.267059E+01
     3   0.987804E+03   0.405450E-01   0.378830E-05   0.297322E+01
     4   0.930569E+03   0.335625E-01   0.631490E-05   0.276111E+01
     5   0.888334E+03   0.213563E-01   0.947434E-05   0.232387E+01
     6   0.859703E+03   0.115106E-01   0.132674E-04   0.184885E+01
     7   0.841485E+03   0.622103E-02   0.176950E-04   0.143465E+01
     8   0.830342E+03   0.414041E-02   0.227581E-04   0.112615E+01
     9   0.824804E+03   0.333494E-02   0.284581E-04   0.928370E+00
    10   0.823417E+03   0.279268E-02   0.347961E-04   0.824918E+00
    11   0.824699E+03   0.235981E-02   0.417735E-04   0.793899E+00
    12   0.829447E+03   0.214181E-02   0.493919E-04   0.811657E+00
    13   0.835396E+03   0.214059E-02   0.576528E-04   0.857982E+00
    14   0.842519E+03   0.226308E-02   0.665579E-04   0.918532E+00
    15   0.849922E+03   0.246025E-02   0.761088E-04   0.980883E+00
    16   0.859300E+03   0.276785E-02   0.863074E-04   0.104449E+01
    17   0.870468E+03   0.321696E-02   0.971553E-04   0.110817E+01
    18   0.882274E+03   0.382708E-02   0.108654E-03   0.117293E+01
    19   0.895439E+03   0.460177E-02   0.120806E-03   0.124610E+01
    20   0.908326E+03   0.552191E-02   0.133613E-03   0.132490E+01
    21   0.921682E+03   0.657393E-02   0.147076E-03   0.140687E+01
    22   0.935578E+03   0.776329E-02   0.161197E-03   0.148553E+01
    23   0.949589E+03   0.909367E-02   0.175978E-03   0.156152E+01
    24   0.963983E+03   0.105725E-01   0.191421E-03   0.163605E+01
    25   0.978899E+03   0.121930E-01   0.207526E-03   0.170110E+01
    26   0.993864E+03   0.139596E-01   0.224295E-03   0.175919E+01
    27   0.100929E+04   0.159114E-01   0.241730E-03   0.181118E+01
    28   0.102501E+04   0.180661E-01   0.259832E-03   0.185297E+01
    29   0.104098E+04   0.204215E-01   0.278601E-03   0.189133E+01
    30   0.105740E+04   0.229731E-01   0.298039E-03   0.192052E+01
    31   0.107361E+04   0.257195E-01   0.318147E-03   0.194764E+01
    32   0.109037E+04   0.286925E-01   0.338924E-03   0.196452E+01
    33   0.110717E+04   0.318864E-01   0.360373E-03   0.197308E+01
    34   0.112402E+04   0.353509E-01   0.382492E-03   0.197826E+01
    35   0.114153E+04   0.390565E-01   0.405283E-03   0.196984E+01
    36   0.115881E+04   0.429891E-01   0.428745E-03   0.195574E+01
    37   0.117637E+04   0.471643E-01   0.452878E-03   0.192768E+01
    38   0.119428E+04   0.515743E-01   0.477682E-03   0.188604E+01
    39   0.121245E+04   0.562350E-01   0.503156E-03   0.183230E+01
    40   0.123081E+04   0.611706E-01   0.529301E-03   0.176722E+01
    41   0.124927E+04   0.664017E-01   0.556116E-03   0.169154E+01
    42   0.126784E+04   0.719327E-01   0.583599E-03   0.160600E+01
    43   0.128653E+04   0.777637E-01   0.611749E-03   0.151088E+01
    44   0.130540E+04   0.838925E-01   0.640567E-03   0.140489E+01
    45   0.132450E+04   0.903145E-01   0.670051E-03   0.128644E+01
    46   0.134381E+04   0.970247E-01   0.700199E-03   0.115453E+01
    47   0.136331E+04   0.104029E+00   0.731010E-03   0.100882E+01
    48   0.138297E+04   0.111330E+00   0.762483E-03   0.849126E+00
    49   0.140278E+04   0.118928E+00   0.794618E-03   0.675307E+00
    50   0.142279E+04   0.126837E+00   0.827411E-03   0.487377E+00
    51   0.144307E+04   0.135066E+00   0.860862E-03   0.285548E+00
    52   0.146356E+04   0.143617E+00   0.894970E-03   0.706113E-01
    53   0.148419E+04   0.152485E+00   0.929733E-03  -0.156704E+00
    54   0.150494E+04   0.161663E+00   0.965149E-03  -0.396526E+00
    55   0.152580E+04   0.171149E+00   0.100122E-02  -0.649357E+00
    56   0.154690E+04   0.180934E+00   0.103794E-02  -0.916263E+00
    57   0.156832E+04   0.191018E+00   0.107531E-02  -0.119802E+01
    58   0.159003E+04   0.201402E+00   0.111332E-02  -0.149467E+01
    59   0.161194E+04   0.212091E+00   0.115199E-02  -0.180593E+01
    60   0.163403E+04   0.223079E+00   0.119130E-02  -0.213114E+01
    61   0.165630E+04   0.234363E+00   0.123126E-02  -0.246968E+01
    62   0.167877E+04   0.245938E+00   0.127186E-02  -0.282156E+01
    63   0.170145E+04   0.257802E+00   0.131310E-02  -0.318694E+01
    64   0.172434E+04   0.269948E+00   0.135499E-02  -0.356597E+01
    65   0.174747E+04   0.282376E+00   0.139752E-02  -0.395890E+01
    66   0.177089E+04   0.295077E+00   0.144069E-02  -0.436594E+01
    67   0.179457E+04   0.308042E+00   0.148451E-02  -0.478657E+01
    68   0.181848E+04   0.321259E+00   0.152897E-02  -0.522007E+01
    69   0.184258E+04   0.334720E+00   0.157407E-02  -0.566572E+01
    70   0.186683E+04   0.348416E+00   0.161982E-02  -0.612303E+01
    71   0.189121E+04   0.362342E+00   0.166621E-02  -0.659178E+01
    72   0.191584E+04   0.376492E+00   0.171324E-02  -0.707280E+01
    73   0.194082E+04   0.390860E+00   0.176092E-02  -0.756696E+01
    74   0.196615E+04   0.405434E+00   0.180924E-02  -0.807403E+01
    75   0.199184E+04   0.420201E+00   0.185822E-02  -0.859349E+01
    76   0.201783E+04   0.435147E+00   0.190784E-02  -0.912473E+01
    77   0.204400E+04   0.450261E+00   0.195811E-02  -0.966642E+01
    78   0.207036E+04   0.465531E+00   0.200904E-02  -0.102183E+02
    79   0.209694E+04   0.480949E+00   0.206062E-02  -0.107802E+02
    80   0.212378E+04   0.496502E+00   0.211285E-02  -0.113525E+02
    81   0.215092E+04   0.512180E+00   0.216575E-02  -0.119349E+02
    82   0.217835E+04   0.527971E+00   0.221930E-02  -0.125270E+02
    83   0.220605E+04   0.543861E+00   0.227352E-02  -0.131283E+02
    84   0.223401E+04   0.559836E+00   0.232840E-02  -0.137381E+02
    85   0.226221E+04   0.575882E+00   0.238395E-02  -0.143561E+02
    86   0.229064E+04   0.591988E+00   0.244017E-02  -0.149816E+02
    87   0.231928E+04   0.608139E+00   0.249706E-02  -0.156141E+02
    88   0.234811E+04   0.624323E+00   0.255463E-02  -0.162530E+02
    89   0.237714E+04   0.640524E+00   0.261288E-02  -0.168979E+02
    90   0.240637E+04   0.656726E+00   0.267181E-02  -0.175484E+02
    91   0.243582E+04   0.672914E+00   0.273143E-02  -0.182040E+02
    92   0.246550E+04   0.689072E+00   0.279174E-02  -0.188645E+02
    93   0.249540E+04   0.705186E+00   0.285273E-02  -0.195293E+02
    94   0.252553E+04   0.721242E+00   0.291443E-02  -0.201982E+02
    95   0.255589E+04   0.737223E+00   0.297682E-02  -0.208706E+02
    96   0.258649E+04   0.753116E+00   0.303991E-02  -0.215460E+02
    97   0.261732E+04   0.768904E+00   0.310371E-02  -0.222240E+02
    98   0.264838E+04   0.784571E+00   0.316821E-02  -0.229041E+02
    99   0.267965E+04   0.800103E+00   0.323343E-02  -0.235858E+02
   100   0.271115E+04   0.815486E+00   0.329936E-02  -0.242685E+02
   101   0.274287E+04   0.830707E+00   0.336602E-02  -0.249517E+02
   102   0.277480E+04   0.845741E+00   0.343339E-02  -0.256350E+02
   103   0.280694E+04   0.860588E+00   0.350150E-02  -0.263176E+02
   104   0.283928E+04   0.875218E+00   0.357033E-02  -0.269991E+02
   105   0.287181E+04   0.889623E+00   0.363990E-02  -0.276789E+02
   106   0.290452E+04   0.903788E+00   0.371021E-02  -0.283563E+02
   107   0.293741E+04   0.917703E+00   0.378126E-02  -0.290309E+02
   108   0.297046E+04   0.931347E+00   0.385305E-02  -0.297019E+02
   109   0.300368E+04   0.944712E+00   0.392560E-02  -0.303687E+02
   110   0.303705E+04   0.957774E+00   0.399890E-02  -0.310309E+02
   111   0.307056E+04   0.970526E+00   0.407296E-02  -0.316879E+02
   112   0.310421E+04   0.982960E+00   0.414778E-02  -0.323389E+02
   113   0.313800E+04   0.995053E+00   0.422337E-02  -0.329835E+02
   114   0.317191E+04   0.100679E+01   0.429974E-02  -0.336210E+02
   115   0.320594E+04   0.101817E+01   0.437688E-02  -0.342510E+02
   116   0.324008E+04   0.102918E+01   0.445480E-02  -0.348728E+02
   117   0.327434E+04   0.103980E+01   0.453351E-02  -0.354858E+02
   118   0.330868E+04   0.105002E+01   0.461300E-02  -0.360895E+02
   119   0.334312E+04   0.105983E+01   0.469330E-02  -0.366833E+02
   120   0.337764E+04   0.106922E+01   0.477440E-02  -0.372666E+02
   121   0.341224E+04   0.107818E+01   0.485631E-02  -0.378389E+02
   122   0.344690E+04   0.108670E+01   0.493902E-02  -0.383995E+02
   123   0.348161E+04   0.109478E+01   0.502256E-02  -0.389480E+02
   124   0.351638E+04   0.110239E+01   0.510692E-02  -0.394838E+02
   125   0.355118E+04   0.110953E+01   0.519211E-02  -0.400062E+02
   126   0.358602E+04   0.111620E+01   0.527814E-02  -0.405148E+02
   127   0.362088E+04   0.112239E+01   0.536501E-02  -0.410091E+02
   128   0.365575E+04   0.112808E+01   0.545273E-02  -0.414884E+02
   129   0.369062E+04   0.113328E+01   0.554131E-02  -0.419523E+02
   130   0.372549E+04   0.113797E+01   0.563074E-02  -0.424001E+02
   131   0.376035E+04   0.114215E+01   0.572105E-02  -0.428315E+02
   132   0.379518E+04   0.114583E+01   0.581223E-02  -0.432458E+02
   133   0.382998E+04   0.114898E+01   0.590429E-02  -0.436426E+02
   134   0.386474E+04   0.115162E+01   0.599724E-02  -0.440213E+02
   135   0.389945E+04   0.115373E+01   0.609108E-02  -0.443817E+02
   136   0.393410E+04   0.115533E+01   0.618583E-02  -0.447231E+02
