#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.104958E+04   0.329595E-01   0.000000E+00   0.267059E+01   0.499138E-07   0.319677E-02  -0.125632E-04
     3   0.987797E+03   0.405412E-01   0.000000E+00   0.297322E+01   0.609280E-07   0.318962E-02  -0.131439E-04
     4   0.930557E+03   0.335562E-01   0.000000E+00   0.276111E+01   0.703614E-07   0.310691E-02  -0.107093E-04
     5   0.888316E+03   0.213469E-01   0.000000E+00   0.232387E+01   0.785736E-07   0.299750E-02  -0.682000E-05
     6   0.859679E+03   0.114973E-01   0.000000E+00   0.184885E+01   0.857705E-07   0.288325E-02  -0.280686E-05
     7   0.841453E+03   0.620333E-02   0.000000E+00   0.143465E+01   0.921327E-07   0.277322E-02   0.368377E-06
     8   0.830300E+03   0.411765E-02   0.000000E+00   0.112615E+01   0.977851E-07   0.266571E-02   0.224531E-05
     9   0.824752E+03   0.330648E-02   0.000000E+00   0.928377E+00   0.102835E-06   0.255936E-02   0.281151E-05
    10   0.823355E+03   0.275788E-02   0.000000E+00   0.824929E+00   0.107352E-06   0.245761E-02   0.233212E-05
    11   0.824624E+03   0.231804E-02   0.000000E+00   0.793915E+00   0.111428E-06   0.236559E-02   0.121912E-05
    12   0.829359E+03   0.209243E-02   0.000000E+00   0.811678E+00   0.115066E-06   0.228091E-02  -0.368359E-07
    13   0.835294E+03   0.208294E-02   0.000000E+00   0.858011E+00   0.118368E-06   0.220448E-02  -0.974002E-06
    14   0.842402E+03   0.219654E-02   0.000000E+00   0.918570E+00   0.121322E-06   0.212884E-02  -0.134104E-05
    15   0.849789E+03   0.238416E-02   0.000000E+00   0.980933E+00   0.124003E-06   0.205643E-02  -0.119342E-05
    16   0.859149E+03   0.268157E-02   0.000000E+00   0.104455E+01   0.126415E-06   0.198623E-02  -0.805875E-06
    17   0.870300E+03   0.311984E-02   0.000000E+00   0.110824E+01   0.128583E-06   0.191904E-02  -0.390008E-06
    18   0.882087E+03   0.371847E-02   0.000000E+00   0.117303E+01   0.130544E-06   0.185616E-02  -0.931992E-07
    19   0.895232E+03   0.448103E-02   0.000000E+00   0.124622E+01   0.132306E-06   0.179690E-02   0.740498E-07
    20   0.908099E+03   0.538839E-02   0.000000E+00   0.132504E+01   0.133878E-06   0.174045E-02   0.121534E-06
    21   0.921433E+03   0.642698E-02   0.000000E+00   0.140704E+01   0.135282E-06   0.168720E-02   0.691273E-08
    22   0.935308E+03   0.760226E-02   0.000000E+00   0.148573E+01   0.136538E-06   0.163753E-02  -0.288412E-06
    23   0.949296E+03   0.891791E-02   0.000000E+00   0.156175E+01   0.137657E-06   0.159044E-02  -0.638139E-06
    24   0.963667E+03   0.103814E-01   0.000000E+00   0.163632E+01   0.138644E-06   0.154486E-02  -0.892165E-06
    25   0.978559E+03   0.119858E-01   0.000000E+00   0.170142E+01   0.139512E-06   0.150077E-02  -0.944963E-06
    26   0.993499E+03   0.137358E-01   0.000000E+00   0.175956E+01   0.140271E-06   0.145839E-02  -0.751358E-06
    27   0.100890E+04   0.156702E-01   0.000000E+00   0.181160E+01   0.140932E-06   0.141786E-02  -0.461127E-06
    28   0.102460E+04   0.178070E-01   0.000000E+00   0.185345E+01   0.141500E-06   0.137929E-02  -0.247534E-06
    29   0.104054E+04   0.201438E-01   0.000000E+00   0.189187E+01   0.141976E-06   0.134267E-02  -0.187655E-06
    30   0.105693E+04   0.226761E-01   0.000000E+00   0.192112E+01   0.142362E-06   0.130787E-02  -0.301931E-06
    31   0.107312E+04   0.254026E-01   0.000000E+00   0.194832E+01   0.142667E-06   0.127446E-02  -0.480982E-06
    32   0.108985E+04   0.283551E-01   0.000000E+00   0.196527E+01   0.142906E-06   0.124209E-02  -0.603687E-06
    33   0.110662E+04   0.315279E-01   0.000000E+00   0.197391E+01   0.143080E-06   0.121095E-02  -0.629204E-06
