#           k/h    P           
   0.100000E-03   0.459706E+03
   0.102020E-03   0.468670E+03
   0.104081E-03   0.477808E+03
   0.106184E-03   0.487125E+03
   0.108329E-03   0.496623E+03
   0.110517E-03   0.506306E+03
   0.112750E-03   0.516178E+03
   0.115027E-03   0.526242E+03
   0.117351E-03   0.536501E+03
   0.119722E-03   0.546961E+03
   0.122140E-03   0.557624E+03
   0.124608E-03   0.568495E+03
   0.127125E-03   0.579577E+03
   0.129693E-03   0.590876E+03
   0.132313E-03   0.602393E+03
   0.134986E-03   0.614136E+03
   0.137713E-03   0.626106E+03
   0.140495E-03   0.638310E+03
   0.143333E-03   0.650751E+03
   0.146228E-03   0.663434E+03
   0.149182E-03   0.676363E+03
   0.152196E-03   0.689544E+03
   0.155271E-03   0.702981E+03
   0.158407E-03   0.716680E+03
   0.161607E-03   0.730645E+03
   0.164872E-03   0.744881E+03
   0.168203E-03   0.759394E+03
   0.171601E-03   0.774189E+03
   0.175067E-03   0.789271E+03
   0.178604E-03   0.804647E+03
   0.182212E-03   0.820320E+03
   0.185893E-03   0.836299E+03
   0.189648E-03   0.852587E+03
   0.193479E-03   0.869192E+03
   0.197388E-03   0.886118E+03
   0.201375E-03   0.903373E+03
   0.205443E-03   0.920963E+03
   0.209594E-03   0.938894E+03
   0.213828E-03   0.957173E+03
   0.218147E-03   0.975806E+03
   0.222554E-03   0.994800E+03
   0.227050E-03   0.101416E+04
   0.231637E-03   0.103390E+04
   0.236316E-03   0.105402E+04
   0.241090E-03   0.107453E+04
   0.245960E-03   0.109543E+04
   0.250929E-03   0.111674E+04
   0.255998E-03   0.113846E+04
   0.261170E-03   0.116061E+04
   0.266446E-03   0.118318E+04
   0.271828E-03   0.120618E+04
   0.277319E-03   0.122963E+04
   0.282922E-03   0.125354E+04
   0.288637E-03   0.127790E+04
   0.294468E-03   0.130273E+04
   0.300417E-03   0.132805E+04
   0.306485E-03   0.135385E+04
   0.312677E-03   0.138015E+04
   0.318993E-03   0.140695E+04
   0.325437E-03   0.143427E+04
   0.332012E-03   0.146211E+04
   0.338719E-03   0.149049E+04
   0.345561E-03   0.151942E+04
   0.352542E-03   0.154890E+04
   0.359664E-03   0.157895E+04
   0.366930E-03   0.160957E+04
   0.374342E-03   0.164078E+04
   0.381904E-03   0.167259E+04
   0.389619E-03   0.170500E+04
   0.397490E-03   0.173804E+04
   0.405520E-03   0.177171E+04
   0.413712E-03   0.180602E+04
   0.422070E-03   0.184098E+04
   0.430596E-03   0.187662E+04
   0.439295E-03   0.191293E+04
