#    L    TT             EE             TE             PP             TP          
     2   0.104958E+04   0.329595E-01   0.267059E+01   0.103541E+07   0.297989E+05
     3   0.987797E+03   0.405412E-01   0.297322E+01   0.159960E+07   0.354778E+05
     4   0.930557E+03   0.335562E-01   0.276111E+01   0.210178E+07   0.380706E+05
     5   0.888316E+03   0.213469E-01   0.232387E+01   0.254675E+07   0.390494E+05
     6   0.859679E+03   0.114973E-01   0.184885E+01   0.294115E+07   0.391821E+05
     7   0.841453E+03   0.620333E-02   0.143465E+01   0.329232E+07   0.388707E+05
     8   0.830300E+03   0.411765E-02   0.112615E+01   0.360612E+07   0.382569E+05
     9   0.824752E+03   0.330648E-02   0.928377E+00   0.388776E+07   0.374215E+05
    10   0.823355E+03   0.275788E-02   0.824929E+00   0.414092E+07   0.364796E+05
    11   0.824624E+03   0.231804E-02   0.793915E+00   0.437009E+07   0.355536E+05
    12   0.829359E+03   0.209243E-02   0.811678E+00   0.457610E+07   0.346410E+05
    13   0.835294E+03   0.208294E-02   0.858011E+00   0.476361E+07   0.337797E+05
    14   0.842402E+03   0.219654E-02   0.918570E+00   0.493272E+07   0.328718E+05
    15   0.849789E+03   0.238416E-02   0.980933E+00   0.508684E+07   0.319667E+05
    16   0.859149E+03   0.268157E-02   0.104455E+01   0.522651E+07   0.310573E+05
    17   0.870300E+03   0.311984E-02   0.110824E+01   0.535315E+07   0.301631E+05
    18   0.882087E+03   0.371847E-02   0.117303E+01   0.546847E+07   0.293103E+05
    19   0.895232E+03   0.448103E-02   0.124622E+01   0.557313E+07   0.284929E+05
    20   0.908099E+03   0.538839E-02   0.132504E+01   0.566765E+07   0.277015E+05
    21   0.921433E+03   0.642698E-02   0.140704E+01   0.575313E+07   0.269455E+05
    22   0.935308E+03   0.760226E-02   0.148573E+01   0.583064E+07   0.262336E+05
    23   0.949296E+03   0.891791E-02   0.156175E+01   0.590070E+07   0.255516E+05
    24   0.963667E+03   0.103814E-01   0.163632E+01   0.596371E+07   0.248841E+05
    25   0.978559E+03   0.119858E-01   0.170142E+01   0.602028E+07   0.242321E+05
    26   0.993499E+03   0.137358E-01   0.175956E+01   0.607100E+07   0.236001E+05
    27   0.100890E+04   0.156702E-01   0.181160E+01   0.611636E+07   0.229915E+05
    28   0.102460E+04   0.178070E-01   0.185345E+01   0.615672E+07   0.224090E+05
    29   0.104054E+04   0.201438E-01   0.189187E+01   0.619216E+07   0.218530E+05
    30   0.105693E+04   0.226761E-01   0.192112E+01   0.622278E+07   0.213221E+05
    31   0.107312E+04   0.254026E-01   0.194832E+01   0.624915E+07   0.208099E+05
    32   0.108985E+04   0.283551E-01   0.196527E+01   0.627182E+07   0.203111E+05
    33   0.110662E+04   0.315279E-01   0.197391E+01   0.629104E+07   0.198293E+05
    34   0.112344E+04   0.349705E-01   0.197918E+01   0.630693E+07   0.193687E+05
    35   0.114092E+04   0.386538E-01   0.197085E+01   0.631973E+07   0.189285E+05
    36   0.115817E+04   0.425634E-01   0.195684E+01   0.632966E+07   0.185063E+05
    37   0.117570E+04   0.467150E-01   0.192888E+01   0.633691E+07   0.180991E+05
    38   0.119358E+04   0.511008E-01   0.188734E+01   0.634166E+07   0.177042E+05
    39   0.121173E+04   0.557366E-01   0.183371E+01   0.634405E+07   0.173206E+05
    40   0.123005E+04   0.606469E-01   0.176874E+01   0.634418E+07   0.169480E+05
    41   0.124848E+04   0.658521E-01   0.169318E+01   0.634217E+07   0.165861E+05
    42   0.126702E+04   0.713565E-01   0.160774E+01   0.633816E+07   0.162344E+05
    43   0.128568E+04   0.771604E-01   0.151274E+01   0.633226E+07   0.158928E+05
    44   0.130451E+04   0.832617E-01   0.140688E+01   0.632462E+07   0.155609E+05
    45   0.132358E+04   0.896556E-01   0.128854E+01   0.631536E+07   0.152384E+05
    46   0.134286E+04   0.963371E-01   0.115675E+01   0.630461E+07   0.149252E+05
    47   0.136233E+04   0.103312E+00   0.101117E+01   0.629246E+07   0.146216E+05
    48   0.138195E+04   0.110583E+00   0.851595E+00   0.627901E+07   0.143279E+05
    49   0.140173E+04   0.118152E+00   0.677895E+00   0.626433E+07   0.140447E+05
    50   0.142171E+04   0.126030E+00   0.490085E+00   0.624853E+07   0.137722E+05
    51   0.144196E+04   0.134228E+00   0.288371E+00   0.623167E+07   0.135107E+05
    52   0.146241E+04   0.142748E+00   0.735458E-01   0.621384E+07   0.132594E+05
    53   0.148301E+04   0.151583E+00  -0.153661E+00   0.619507E+07   0.130171E+05
    54   0.150372E+04   0.160729E+00  -0.393382E+00   0.617544E+07   0.127829E+05
    55   0.152456E+04   0.170183E+00  -0.646116E+00   0.615499E+07   0.125556E+05
    56   0.154562E+04   0.179935E+00  -0.912933E+00   0.613379E+07   0.123343E+05
    57   0.156700E+04   0.189986E+00  -0.119461E+01   0.611186E+07   0.121182E+05
    58   0.158868E+04   0.200337E+00  -0.149118E+01   0.608925E+07   0.119066E+05
    59   0.161056E+04   0.210991E+00  -0.180239E+01   0.606598E+07   0.116989E+05
