#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.102157E-04   0.174595E+08   0.174595E+08   0.232671E+08   0.232668E+08   0.174615E+08   0.174595E+08   0.174595E+08   0.174648E+08  -0.466066E+00   0.888678E+07   0.888678E+07   0.428748E+01
   0.112882E-04   0.174595E+08   0.174595E+08   0.232644E+08   0.232641E+08   0.174615E+08   0.174595E+08   0.174595E+08   0.174648E+08  -0.466066E+00   0.888678E+07   0.888678E+07   0.473746E+01
   0.124734E-04   0.174595E+08   0.174595E+08   0.232611E+08   0.232607E+08   0.174615E+08   0.174595E+08   0.174595E+08   0.174648E+08  -0.466066E+00   0.888677E+07   0.888677E+07   0.523463E+01
   0.137830E-04   0.174595E+08   0.174595E+08   0.232571E+08   0.232566E+08   0.174614E+08   0.174595E+08   0.174595E+08   0.174647E+08  -0.466066E+00   0.888677E+07   0.888677E+07   0.578391E+01
   0.152300E-04   0.174595E+08   0.174595E+08   0.232522E+08   0.232516E+08   0.174614E+08   0.174595E+08   0.174595E+08   0.174647E+08  -0.466065E+00   0.888676E+07   0.888676E+07   0.639076E+01
   0.168290E-04   0.174595E+08   0.174595E+08   0.232462E+08   0.232454E+08   0.174614E+08   0.174595E+08   0.174595E+08   0.174647E+08  -0.466065E+00   0.888676E+07   0.888676E+07   0.706118E+01
   0.185959E-04   0.174594E+08   0.174594E+08   0.232388E+08   0.232379E+08   0.174614E+08   0.174595E+08   0.174594E+08   0.174647E+08  -0.466065E+00   0.888675E+07   0.888675E+07   0.780181E+01
   0.205483E-04   0.174594E+08   0.174594E+08   0.232299E+08   0.232288E+08   0.174613E+08   0.174594E+08   0.174594E+08   0.174647E+08  -0.466064E+00   0.888674E+07   0.888674E+07   0.861994E+01
   0.227056E-04   0.174594E+08   0.174594E+08   0.232190E+08   0.232176E+08   0.174613E+08   0.174594E+08   0.174594E+08   0.174647E+08  -0.466063E+00   0.888674E+07   0.888674E+07   0.952362E+01
   0.250895E-04   0.174594E+08   0.174594E+08   0.232056E+08   0.232040E+08   0.174612E+08   0.174594E+08   0.174594E+08   0.174646E+08  -0.466063E+00   0.888672E+07   0.888672E+07   0.105217E+02
   0.277236E-04   0.174594E+08   0.174594E+08   0.231894E+08   0.231874E+08   0.174611E+08   0.174594E+08   0.174594E+08   0.174646E+08  -0.466062E+00   0.888671E+07   0.888671E+07   0.116240E+02
   0.306343E-04   0.174593E+08   0.174593E+08   0.231695E+08   0.231671E+08   0.174610E+08   0.174593E+08   0.174593E+08   0.174646E+08  -0.466061E+00   0.888669E+07   0.888669E+07   0.128411E+02
   0.338505E-04   0.174593E+08   0.174593E+08   0.231453E+08   0.231424E+08   0.174609E+08   0.174593E+08   0.174593E+08   0.174645E+08  -0.466059E+00   0.888667E+07   0.888667E+07   0.141849E+02
   0.374045E-04   0.174592E+08   0.174592E+08   0.231158E+08   0.231122E+08   0.174608E+08   0.174592E+08   0.174592E+08   0.174645E+08  -0.466058E+00   0.888664E+07   0.888664E+07   0.156683E+02
